,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
C:\Users\huyen\OneDrive\Documents\GitHub\random-forests\data/yu_x.csv,0.6424,0.5394,0.5636,0.5636,0.5939,0.6,0.5879,0.5697,0.6,0.5879,0.5758,0.5939,0.5515,0.5515,0.5394,0.4848,0.4727,0.4727,0.4788,0.4545,0.4667,0.4788,0.503,0.497,0.5091,0.497,0.5091,0.503,0.5212,0.5091,0.4848,0.4848,0.497,0.5091,0.503,0.503,0.503,0.497,0.497,0.5152,0.5091,0.5091,0.5152,0.4909,0.5091,0.497,0.503,0.503,0.5091,0.5091,0.4909,0.5152,0.497,0.503,0.497,0.5152,0.503,0.503,0.5091,0.5091,0.5212,0.5091,0.5091,0.497,0.497,0.497,0.503,0.5152,0.497,0.497,0.497,0.497,0.5091,0.497,0.503,0.497,0.497,0.5091,0.5091,0.497,0.4909,0.497,0.5152,0.4848,0.5091,0.5152,0.503,0.503,0.503,0.5091,0.503,0.497,0.5152,0.5091,0.5091,0.503,0.497,0.503,0.497,0.503
C:\Users\huyen\OneDrive\Documents\GitHub\random-forests\data/zeller_x.csv,0.5197,0.5263,0.5789,0.5921,0.6053,0.5987,0.6645,0.6776,0.6645,0.6711,0.6382,0.6579,0.6513,0.6184,0.625,0.6513,0.6447,0.6776,0.6776,0.6711,0.6776,0.6513,0.6579,0.6579,0.6645,0.6645,0.6579,0.6447,0.6447,0.6513,0.6513,0.6711,0.6513,0.6645,0.6645,0.6579,0.6579,0.6579,0.6513,0.6579,0.6513,0.6579,0.6513,0.6513,0.6579,0.6645,0.6447,0.6645,0.6579,0.6579,0.6711,0.6513,0.6645,0.6579,0.6645,0.6579,0.6513,0.6447,0.6645,0.6579,0.6513,0.6513,0.6579,0.6513,0.6579,0.6645,0.6711,0.6447,0.6382,0.6645,0.6645,0.6579,0.6711,0.6513,0.6579,0.6513,0.6447,0.6645,0.6513,0.6513,0.6447,0.6513,0.6447,0.6513,0.6513,0.6645,0.6382,0.6513,0.6645,0.6513,0.6382,0.6513,0.6711,0.6447,0.6513,0.6513,0.6711,0.6645,0.6513,0.6579
C:\Users\huyen\OneDrive\Documents\GitHub\random-forests\data/vogtmann_x.csv,0.64,0.51,0.54,0.53,0.55,0.54,0.54,0.55,0.54,0.52,0.54,0.54,0.55,0.53,0.47,0.47,0.47,0.48,0.47,0.45,0.48,0.46,0.46,0.47,0.47,0.47,0.47,0.46,0.46,0.47,0.47,0.47,0.46,0.47,0.49,0.48,0.47,0.48,0.47,0.47,0.47,0.48,0.5,0.47,0.48,0.47,0.46,0.47,0.49,0.46,0.49,0.51,0.47,0.48,0.48,0.48,0.49,0.47,0.46,0.47,0.47,0.47,0.48,0.48,0.47,0.48,0.47,0.48,0.48,0.48,0.47,0.47,0.47,0.48,0.47,0.47,0.47,0.48,0.47,0.47,0.48,0.47,0.47,0.47,0.49,0.46,0.47,0.47,0.48,0.46,0.47,0.5,0.48,0.48,0.47,0.46,0.48,0.48,0.46,0.48
Average ACC,0.6007,0.525233333,0.560833333,0.5619,0.583066667,0.579566667,0.597466667,0.5991,0.6015,0.593,0.584666667,0.597266667,0.584266667,0.566633333,0.5448,0.535366667,0.529133333,0.543433333,0.542133333,0.5252,0.541433333,0.530033333,0.5403,0.541633333,0.547866667,0.543833333,0.545666667,0.5359,0.541966667,0.543466667,0.535366667,0.541966667,0.5361,0.547866667,0.5525,0.546966667,0.543633333,0.544966667,0.539433333,0.5477,0.543466667,0.549,0.5555,0.5374,0.549,0.543833333,0.5359,0.545833333,0.552333333,0.542333333,0.550666667,0.558833333,0.543833333,0.546966667,0.547166667,0.551033333,0.5481,0.539233333,0.544533333,0.545666667,0.5475,0.543466667,0.549,0.542766667,0.541633333,0.547166667,0.548033333,0.546633333,0.5384,0.547166667,0.543833333,0.541633333,0.550066667,0.542766667,0.543633333,0.539433333,0.537233333,0.5512,0.543466667,0.539433333,0.538533333,0.539433333,0.5433,0.535366667,0.550133333,0.546566667,0.537066667,0.541433333,0.549166667,0.540133333,0.537066667,0.549433333,0.555433333,0.5446,0.543466667,0.5381,0.549366667,0.549166667,0.5361,0.546966667
,0.6007,0.5252,0.5608,0.5619,0.5831,0.5796,0.5975,0.5991,0.6015,0.593,0.5847,0.5973,0.5843,0.5666,0.5448,0.5354,0.5291,0.5434,0.5421,0.5252,0.5414,0.53,0.5403,0.5416,0.5479,0.5438,0.5457,0.5359,0.542,0.5435,0.5354,0.542,0.5361,0.5479,0.5525,0.547,0.5436,0.545,0.5394,0.5477,0.5435,0.549,0.5555,0.5374,0.549,0.5438,0.5359,0.5458,0.5523,0.5423,0.5507,0.5588,0.5438,0.547,0.5472,0.551,0.5481,0.5392,0.5445,0.5457,0.5475,0.5435,0.549,0.5428,0.5416,0.5472,0.548,0.5466,0.5384,0.5472,0.5438,0.5416,0.5501,0.5428,0.5436,0.5394,0.5372,0.5512,0.5435,0.5394,0.5385,0.5394,0.5433,0.5354,0.5501,0.5466,0.5371,0.5414,0.5492,0.5401,0.5371,0.5494,0.5554,0.5446,0.5435,0.5381,0.5494,0.5492,0.5361,0.547
