,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
C:\Users\huyen\OneDrive\Documents\GitHub\random-forests\data/ibdfullHS_iCDr_x.csv,0.7835,0.7938,0.8351,0.8041,0.8041,0.8041,0.7835,0.8041,0.8144,0.8144,0.8144,0.8041,0.7835,0.7835,0.7938,0.7938,0.7938,0.8557,0.866,0.866,0.866,0.866,0.8557,0.866,0.8969,0.9072,0.9175,0.9175,0.9175,0.9072,0.9175,0.8866,0.8866,0.9072,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969,0.8969
C:\Users\huyen\OneDrive\Documents\GitHub\random-forests\data/ibdfullHS_UCf_x.csv,0.7468,0.7848,0.8481,0.8101,0.8101,0.8228,0.7848,0.8101,0.7595,0.7595,0.7468,0.7089,0.6962,0.6962,0.6962,0.6962,0.6962,0.8101,0.8354,0.8608,0.8608,0.8608,0.8481,0.8481,0.8861,0.8987,0.9241,0.9241,0.9241,0.9114,0.9367,0.8987,0.8987,0.9114,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241,0.9241
C:\Users\huyen\OneDrive\Documents\GitHub\random-forests\data/ibdfullHS_iCDf_x.csv,0.8049,0.7927,0.878,0.8415,0.8537,0.8537,0.8415,0.8537,0.8293,0.8293,0.8171,0.7561,0.7561,0.7439,0.7561,0.7439,0.7561,0.8659,0.8659,0.878,0.8902,0.878,0.878,0.878,0.9146,0.9268,0.9634,0.9634,0.9512,0.9512,0.9634,0.939,0.939,0.939,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512,0.9512
C:\Users\huyen\OneDrive\Documents\GitHub\random-forests\data/ibdfullHS_CDr_x.csv,0.8,0.8,0.8174,0.8,0.7913,0.7913,0.7739,0.7913,0.8,0.8,0.8,0.7913,0.7739,0.7652,0.7739,0.7739,0.7739,0.8261,0.8348,0.8435,0.8348,0.8348,0.8261,0.8348,0.8783,0.887,0.887,0.887,0.8957,0.887,0.8957,0.8696,0.8696,0.887,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783,0.8783
C:\Users\huyen\OneDrive\Documents\GitHub\random-forests\data/ibdfullHS_CDf_x.csv,0.8061,0.7959,0.898,0.8571,0.8673,0.8673,0.8571,0.8673,0.8367,0.8265,0.8163,0.7653,0.7653,0.7551,0.7653,0.7551,0.7653,0.8776,0.8776,0.898,0.9082,0.898,0.898,0.898,0.9286,0.9388,0.9694,0.9694,0.9592,0.9592,0.9694,0.949,0.949,0.949,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592
Average ACC,0.78826,0.79344,0.85532,0.82256,0.8253,0.82784,0.80816,0.8253,0.80798,0.80594,0.79892,0.76514,0.755,0.74878,0.75706,0.75258,0.75706,0.84708,0.85594,0.86926,0.872,0.86752,0.86118,0.86498,0.9009,0.9117,0.93228,0.93228,0.92954,0.9232,0.93654,0.90858,0.90858,0.91872,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194,0.92194
,0.7883,0.7934,0.8553,0.8226,0.8253,0.8278,0.8082,0.8253,0.808,0.8059,0.7989,0.7651,0.755,0.7488,0.7571,0.7526,0.7571,0.8471,0.8559,0.8693,0.872,0.8675,0.8612,0.865,0.9009,0.9117,0.9323,0.9323,0.9295,0.9232,0.9365,0.9086,0.9086,0.9187,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219,0.9219
