,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
C:\Users\huyen\OneDrive\Documents\GitHub\random-forests\data/ibdfullHS_iCDr_x.csv,0.8454,0.8763,0.8866,0.8969,0.9175,0.9072,0.9072,0.9072,0.9278,0.9278,0.9072,0.9381,0.9381,0.9381,0.9381,0.9381,0.9381,0.9381,0.9381,0.9278,0.9278,0.9381,0.9381,0.9278,0.9381,0.9278,0.9381,0.9278,0.9278,0.9278,0.9381,0.9278,0.9278,0.9278,0.9278,0.9381,0.9278,0.9381,0.9381,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9381,0.9278,0.9278,0.9278,0.9381,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9381,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278,0.9278
C:\Users\huyen\OneDrive\Documents\GitHub\random-forests\data/ibdfullHS_UCf_x.csv,0.8228,0.8861,0.9114,0.9114,0.9367,0.9367,0.9367,0.9367,0.9367,0.9367,0.9367,0.9367,0.9367,0.9367,0.9367,0.9367,0.9367,0.9367,0.9367,0.9367,0.9367,0.9494,0.9494,0.9494,0.9494,0.9367,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.962,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494,0.9494
C:\Users\huyen\OneDrive\Documents\GitHub\random-forests\data/ibdfullHS_iCDf_x.csv,0.8537,0.8902,0.9512,0.9512,0.9512,0.9634,0.9512,0.9512,0.9634,0.9512,0.9634,0.9512,0.9634,0.9756,0.9634,0.9634,0.9634,0.9756,0.9634,0.9634,0.9634,0.9634,0.9634,0.9756,0.9634,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9634,0.9634,0.9756,0.9634,0.9634,0.9756,0.9634,0.9756,0.9634,0.9756,0.9878,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9634,0.9756,0.9756,0.9756,0.9756,0.9634,0.9756,0.9634,0.9634,0.9756,0.9756,0.9634,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9634,0.9756,0.9756,0.9756,0.9756,0.9756,0.9756,0.9634,0.9756,0.9634,0.9756,0.9756,0.9756,0.9634,0.9756,0.9756,0.9756,0.9634,0.9756,0.9756,0.9634,0.9756,0.9756,0.9756
C:\Users\huyen\OneDrive\Documents\GitHub\random-forests\data/ibdfullHS_CDr_x.csv,0.8174,0.8696,0.8783,0.8783,0.9043,0.8957,0.8957,0.913,0.9043,0.913,0.9043,0.9217,0.9217,0.9217,0.9217,0.913,0.9217,0.9217,0.9217,0.9217,0.9217,0.913,0.913,0.9217,0.9217,0.9217,0.913,0.913,0.9217,0.913,0.9217,0.913,0.9217,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.9217,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.9217,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.913,0.9217,0.913,0.913
C:\Users\huyen\OneDrive\Documents\GitHub\random-forests\data/ibdfullHS_CDf_x.csv,0.8163,0.8776,0.9592,0.949,0.949,0.9592,0.9592,0.949,0.9592,0.949,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9592,0.9694,0.9592,0.9694,0.9694,0.9592,0.9694,0.9592,0.9694,0.9694,0.9694,0.9694,0.9694,0.9694,0.9694,0.9694,0.9694,0.9694,0.9694,0.9694,0.9694,0.9592,0.9694,0.949,0.9694,0.9694,0.9694,0.9592,0.9592,0.9694,0.9694,0.9694,0.9694,0.9694,0.9694,0.9694,0.9694,0.9694,0.9592,0.9592,0.9694,0.9694,0.9694,0.9694,0.9592,0.9694,0.9694,0.9694,0.9694,0.9694,0.9694,0.9694,0.9592,0.9694,0.9694,0.9694,0.9694,0.9694,0.9592,0.9694,0.9796,0.9592,0.9592,0.9694,0.9592,0.9694,0.9694,0.9694,0.9694,0.9694,0.9694,0.9694,0.9694,0.9592,0.9592,0.9592,0.9694,0.9694,0.9694,0.9694,0.9694
Average ACC,0.83112,0.87996,0.91734,0.91736,0.93174,0.93244,0.93,0.93142,0.93828,0.93554,0.93416,0.94138,0.94382,0.94626,0.94382,0.94208,0.94382,0.94626,0.94382,0.94176,0.9438,0.94462,0.94666,0.94878,0.94636,0.94624,0.94706,0.94704,0.94878,0.94704,0.95084,0.94704,0.94878,0.94704,0.94704,0.9491,0.94704,0.9491,0.9491,0.94704,0.945,0.9446,0.94052,0.94704,0.9446,0.94666,0.945,0.94256,0.94704,0.9484,0.94704,0.94948,0.94704,0.94704,0.94704,0.94704,0.94704,0.945,0.9443,0.94704,0.94704,0.94704,0.94704,0.94256,0.94704,0.9446,0.9446,0.94704,0.94704,0.9446,0.94704,0.945,0.94704,0.94704,0.94704,0.94704,0.9446,0.945,0.94704,0.94908,0.94706,0.945,0.94704,0.94256,0.94704,0.9446,0.94956,0.94704,0.94704,0.9446,0.94704,0.94704,0.945,0.94256,0.945,0.94704,0.9446,0.94878,0.94704,0.94704
,0.8311,0.88,0.9173,0.9174,0.9317,0.9324,0.93,0.9314,0.9383,0.9355,0.9342,0.9414,0.9438,0.9463,0.9438,0.9421,0.9438,0.9463,0.9438,0.9418,0.9438,0.9446,0.9467,0.9488,0.9464,0.9462,0.9471,0.947,0.9488,0.947,0.9508,0.947,0.9488,0.947,0.947,0.9491,0.947,0.9491,0.9491,0.947,0.945,0.9446,0.9405,0.947,0.9446,0.9467,0.945,0.9426,0.947,0.9484,0.947,0.9495,0.947,0.947,0.947,0.947,0.947,0.945,0.9443,0.947,0.947,0.947,0.947,0.9426,0.947,0.9446,0.9446,0.947,0.947,0.9446,0.947,0.945,0.947,0.947,0.947,0.947,0.9446,0.945,0.947,0.9491,0.9471,0.945,0.947,0.9426,0.947,0.9446,0.9496,0.947,0.947,0.9446,0.947,0.947,0.945,0.9426,0.945,0.947,0.9446,0.9488,0.947,0.947
